CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.0335,20.0,17.65,0,0.648,6.639,96.5,3.9234,8,609,20.9,220.67,4.14,29.7
4.8461,0.0,9.57,0,0.452,7.152,81.9,9.2981,8,631,14.8,273.71,34.27,20.3
1.0658,25.0,11.32,0,0.545,6.944,72.9,1.9108,3,242,17.3,255.5,34.75,16.1
2.0779,20.0,12.16,0,0.864,7.365,87.2,9.5231,2,235,19.5,328.66,21.59,21.2
2.6068,0.0,3.83,0,0.388,6.551,90.9,9.8123,4,508,14.5,342.1,21.9,27.1
0.5394,35.0,2.93,0,0.602,6.934,,5.5187,4,202,14.6,223.7,3.79,34.0
8.7994,12.5,18.19,0,0.793,6.085,61.9,9.0473,24,577,21.8,117.14,23.41,11.1
1.6399,25.0,17.87,0,0.539,,61.7,11.1665,6,666,16.7,9.36,17.28,18.8
0.2261,80.0,18.07,0,0.615,7.495,28.2,9.9078,24,580,14.3,243.98,27.44,23.2
0.3241,20.0,1.02,0,0.859,6.451,23.8,5.3949,7,307,15.7,327.68,3.41,24.7
1.489,25.0,9.15,0,0.613,6.863,13.2,6.4263,7,286,16.3,179.0,27.51,17.9
0.381,0.0,5.74,0,0.444,6.387,66.6,9.6729,2,543,18.5,65.64,12.11,29.6
0.979,0.0,21.12,0,0.405,5.889,78.5,4.3185,1,219,21.3,114.57,25.36,14.8
2.23,12.5,23.31,0,0.843,6.308,76.6,9.9427,1,468,21.9,202.57,24.46,14.1
0.1245,35.0,7.04,0,0.51,7.305,33.0,4.7088,6,422,18.7,332.13,9.93,26.7
1.0767,20.0,18.2,1,0.627,6.689,22.1,9.9659,2,577,19.2,68.43,17.69,23.8
4.7097,0.0,3.93,0,0.424,5.102,46.5,2.0548,24,293,15.6,243.09,32.03,8.5
0.2236,35.0,7.79,0,0.588,6.149,55.6,1.5884,2,586,20.7,299.09,23.68,14.8
2.9111,35.0,4.17,0,0.836,7.548,92.1,12.0744,24,553,14.6,371.54,4.2,34.9
0.1514,80.0,8.01,1,0.626,6.15,87.7,10.664,7,312,13.6,46.6,17.78,20.7
8.0343,0.0,18.38,0,0.856,5.04,91.8,10.8113,1,373,21.7,367.71,13.02,6.1
0.7626,25.0,24.62,0,0.507,7.625,85.3,11.5641,1,221,20.7,238.85,24.99,26.9
0.7352,20.0,5.87,0,0.627,6.778,96.5,5.9215,4,422,15.5,304.38,24.01,21.8
3.2703,12.5,14.87,0,0.801,6.251,47.6,4.2552,4,323,18.9,21.65,2.08,25.6
6.7781,12.5,19.09,0,0.6,6.04,6.7,2.5303,3,246,17.0,201.05,23.76,14.0
9.5632,0.0,25.75,0,0.517,7.058,10.2,6.6133,5,480,15.6,247.24,28.38,17.9
4.1452,0.0,16.67,0,0.799,5.921,40.2,3.5205,2,484,15.3,122.0,29.6,11.3
5.1828,20.0,7.26,0,0.571,7.104,27.3,11.3911,2,232,13.9,171.5,3.84,38.9
3.2905,80.0,17.08,0,0.64,6.68,18.7,1.144,7,284,17.8,220.14,12.72,25.9
0.5776,35.0,8.99,0,0.858,6.471,95.4,2.6752,24,230,16.8,219.45,16.99,16.9
3.497,0.0,26.37,0,0.471,6.402,21.2,3.8112,3,542,17.4,16.92,8.23,29.0
0.5006,25.0,11.09,0,0.528,6.178,96.0,3.2885,24,364,14.6,174.61,16.97,23.0
2.9675,0.0,18.66,0,0.395,7.032,76.6,3.5836,4,224,21.4,85.12,4.28,35.5
2.3018,25.0,1.12,0,0.572,5.694,64.8,8.3165,4,287,18.6,363.86,5.81,25.2
1.0727,0.0,11.1,0,0.478,5.165,68.2,4.7026,1,698,21.1,387.61,25.97,5.0
2.1304,12.5,23.69,0,0.713,6.73,,7.8653,4,321,13.6,119.15,11.23,28.9
2.7068,25.0,16.67,0,0.469,6.742,65.3,10.8928,5,545,18.5,69.8,27.52,17.3
0.6952,12.5,12.26,1,0.711,6.636,20.3,7.7281,6,432,20.6,87.37,3.45,25.3
1.2542,35.0,25.3,0,0.509,6.585,93.9,8.7399,2,282,15.7,189.79,22.13,22.0
1.2682,20.0,23.13,0,0.554,6.076,31.6,5.1205,2,348,14.4,347.13,15.91,23.7
0.3373,80.0,9.04,0,0.551,,27.0,2.8571,4,194,15.1,198.62,30.63,15.6
0.8689,25.0,14.93,0,0.731,6.268,71.7,4.6264,1,578,15.2,22.29,30.16,15.2
3.0782,0.0,13.48,0,0.609,5.959,66.3,11.7071,2,362,16.8,16.14,15.33,22.2
3.5853,35.0,17.25,0,0.557,6.082,46.2,7.9399,6,448,15.7,90.5,24.3,17.5
1.7218,12.5,9.35,1,0.798,7.714,,4.1526,24,267,15.1,334.55,9.96,30.7
1.7998,20.0,6.97,0,0.66,5.086,17.6,6.0601,6,618,18.7,246.79,22.77,7.7
1.1936,0.0,24.69,0,0.485,6.65,68.0,10.2906,2,301,13.1,223.58,4.65,36.1
3.4999,0.0,24.98,0,0.821,5.125,28.5,8.4529,24,483,15.8,126.82,17.48,8.9
1.2187,20.0,22.85,0,0.548,6.224,28.7,7.2672,5,644,19.1,368.91,8.33,28.2
2.8745,0.0,26.42,0,0.399,5.996,17.9,10.8368,7,560,14.3,131.66,33.77,13.9
1.9203,80.0,20.24,0,0.622,4.84,34.6,8.4968,2,503,14.7,331.44,17.85,13.1
1.8008,35.0,20.76,1,0.441,6.572,34.5,8.17,6,652,14.5,355.62,23.15,19.3
8.6198,25.0,20.71,0,0.497,6.034,46.5,3.1874,1,279,12.6,192.0,14.78,23.8
6.4346,25.0,13.24,0,0.746,4.831,20.7,2.2703,6,691,17.1,354.98,12.18,14.8
2.8618,20.0,12.6,0,0.444,6.888,20.9,11.7166,2,478,13.0,110.09,9.07,30.3
3.5787,0.0,6.87,0,0.775,7.305,55.1,7.6874,24,401,15.2,261.44,34.8,17.7
0.4439,12.5,17.59,0,0.839,7.343,14.6,5.6725,1,321,22.0,35.2,30.72,15.7
1.3905,12.5,8.17,0,0.677,6.551,69.5,7.5792,6,577,21.2,188.27,6.54,24.9
3.9081,80.0,7.33,0,0.728,6.332,94.5,1.7799,2,698,14.6,86.51,28.81,16.8
3.069,0.0,16.03,0,0.73,7.23,43.8,10.1434,7,548,15.5,25.21,16.89,21.6
0.7101,12.5,11.36,0,0.866,7.478,90.3,3.4831,5,204,17.0,1.8,2.26,34.6
9.3175,0.0,6.3,0,0.547,7.093,11.6,9.95,24,432,20.5,129.11,20.88,26.5
0.1151,0.0,22.13,0,0.46,5.641,6.2,6.9782,6,570,20.1,234.12,6.42,27.3
3.3401,0.0,23.31,0,0.634,6.441,72.7,4.1423,4,395,13.8,180.86,,28.6
0.2893,0.0,4.94,0,0.641,6.608,76.6,1.4323,1,592,13.8,120.0,26.97,18.6
7.3719,0.0,0.7,1,0.467,5.033,84.6,10.0742,6,557,16.5,393.41,11.03,17.5
0.2597,0.0,9.41,0,0.68,6.629,7.6,3.0411,4,222,20.8,372.92,34.08,11.2
4.655,0.0,21.63,0,0.387,7.891,78.1,1.6699,1,479,20.9,50.15,25.56,28.4
0.5432,0.0,22.74,0,0.835,6.748,38.9,9.4147,6,277,13.6,164.94,31.91,13.3
13.6216,20.0,4.17,0,0.51,7.331,31.7,4.9505,2,441,18.0,257.64,24.03,25.5
1.7343,0.0,21.02,0,0.399,6.428,19.0,5.3827,3,388,14.1,291.21,33.24,22.1
3.5229,0.0,3.57,0,0.433,6.249,99.6,3.8177,1,609,19.0,145.62,14.83,23.5
2.9382,12.5,10.84,0,0.498,6.567,8.2,10.551,4,641,21.2,296.28,21.63,17.1
2.0097,80.0,26.96,0,0.514,5.729,83.0,4.3706,2,428,16.9,49.56,20.43,14.6
4.3261,25.0,5.6,0,0.396,5.625,64.7,3.4121,1,468,13.4,131.91,34.51,13.7
2.22,80.0,4.58,0,0.517,7.186,74.0,4.5017,4,515,18.0,284.44,7.69,32.6
8.2218,0.0,11.7,0,0.475,7.261,71.7,3.3346,2,530,16.4,248.45,22.68,27.6
0.1831,12.5,16.92,1,0.566,5.606,86.1,4.5942,2,519,20.2,332.34,29.09,8.9
16.0766,12.5,25.22,0,0.569,6.978,20.0,2.0123,5,597,15.8,18.9,15.13,28.5
2.4835,80.0,26.49,0,0.546,6.239,2.1,2.8438,1,701,20.8,69.48,33.19,11.1
0.8845,80.0,2.35,0,0.541,6.538,60.7,5.6876,24,620,15.2,19.55,15.24,24.2
1.7597,80.0,4.16,0,0.424,6.622,36.7,10.7741,5,257,14.1,76.51,7.99,31.2
3.7291,35.0,21.45,0,0.392,6.996,14.1,1.7302,24,436,15.5,2.02,22.9,23.1
2.9905,20.0,7.67,0,0.479,,20.2,3.4394,8,428,12.9,200.28,16.97,29.7
6.2625,20.0,23.95,0,0.751,7.287,34.5,11.0918,24,453,15.2,209.84,,34.3
6.8272,80.0,18.08,0,0.865,6.517,8.9,10.8902,5,463,18.8,261.23,4.24,27.2
2.8366,0.0,3.46,0,0.835,6.737,7.6,8.574,4,563,13.9,152.97,8.79,26.3
4.7229,0.0,22.56,0,0.627,5.717,91.8,3.7452,7,407,13.6,1.59,29.63,10.0
2.0165,80.0,5.17,0,0.641,7.811,32.6,5.7179,1,324,13.8,267.57,34.08,21.9
0.345,12.5,11.72,0,0.534,6.629,98.3,3.4234,8,426,13.3,21.85,21.51,26.3
1.6317,0.0,15.13,0,0.759,6.799,96.5,2.5145,3,634,20.8,343.83,5.53,26.4
0.882,20.0,13.77,0,0.755,5.174,16.0,5.28,1,350,21.5,9.3,21.1,7.1
5.9156,0.0,18.68,0,0.794,5.724,72.1,7.434,3,197,13.0,210.7,32.76,9.2
0.6867,80.0,17.8,1,0.819,7.167,60.9,5.0593,3,698,19.7,355.23,28.91,17.8
3.8223,80.0,26.79,0,0.593,6.501,69.7,7.8191,1,289,19.5,227.36,12.27,28.0
6.8184,0.0,26.98,0,0.756,4.96,11.4,4.3588,7,502,22.0,241.61,6.2,16.0
0.4016,20.0,14.19,0,0.775,7.027,20.5,4.9044,1,606,15.9,270.63,34.39,16.5
2.8481,80.0,3.02,0,0.531,5.919,9.5,9.7974,8,330,15.3,48.86,32.7,14.0
7.8253,25.0,19.79,0,0.835,7.288,61.2,10.7615,5,365,16.9,267.98,3.65,29.3
1.548,0.0,26.38,0,0.426,6.239,98.7,4.6424,7,333,20.7,349.45,31.6,11.7
1.4765,20.0,8.94,0,0.867,6.443,67.9,7.3867,4,265,19.4,386.68,5.23,22.5
1.9921,20.0,12.72,0,0.757,7.125,71.7,4.1598,2,267,17.0,176.03,4.0,29.1
0.6178,25.0,11.76,0,0.426,5.672,98.5,1.6867,2,284,14.9,136.94,29.24,16.2
0.5403,0.0,1.86,0,0.702,5.605,68.4,9.2164,6,427,19.4,299.07,21.17,13.8
9.3212,0.0,18.32,0,0.397,6.162,5.9,2.981,7,465,20.6,215.61,16.75,21.5
7.2029,35.0,9.86,0,0.757,6.879,87.0,5.7828,3,195,16.4,102.36,34.51,7.9
1.7665,0.0,21.37,0,0.772,5.368,37.7,6.4575,4,630,18.9,68.59,32.17,9.5
0.9705,0.0,22.55,0,0.675,5.132,2.4,3.1292,24,541,16.4,67.83,3.79,19.5
4.0325,0.0,22.26,0,0.8,6.877,51.7,2.1401,8,224,17.1,182.42,24.06,23.3
13.0437,0.0,11.54,0,0.428,5.878,93.8,4.9281,4,628,17.5,67.79,29.73,10.0
6.5019,0.0,9.02,0,0.515,6.025,27.2,11.5751,3,202,19.9,8.14,21.68,15.1
1.4583,0.0,20.34,0,0.583,5.0,50.2,7.8665,3,480,21.8,20.98,37.38,5.0
1.9867,35.0,21.74,0,0.401,5.825,19.0,5.2955,5,430,16.8,369.09,26.6,16.9
3.2865,0.0,13.52,1,0.6,6.295,7.7,1.528,6,450,15.8,29.26,5.48,26.1
2.2525,0.0,24.17,0,0.51,6.951,9.9,7.703,2,688,16.1,29.34,8.9,29.3
0.9722,0.0,4.31,0,0.572,5.76,73.2,2.1148,1,672,13.9,179.25,31.69,9.3
0.9635,20.0,23.8,0,0.588,7.46,86.7,7.068,5,333,15.4,97.52,37.88,19.9
3.2493,0.0,3.05,0,0.811,5.821,16.0,9.3715,8,490,13.4,382.11,5.27,25.9
10.479,35.0,4.57,0,0.512,5.822,30.3,5.7594,2,689,16.6,361.6,5.34,29.9
0.575,20.0,14.65,0,0.818,7.376,21.1,4.3935,4,568,14.2,160.83,29.41,18.7
3.5676,35.0,2.29,0,0.589,6.448,4.6,1.6212,2,652,15.9,178.28,4.04,30.8
7.874,25.0,1.9,0,0.541,5.914,56.2,1.3726,3,414,20.1,149.08,4.19,22.5
0.0382,12.5,0.51,0,0.626,6.191,70.6,5.8303,6,335,14.9,15.34,33.96,11.9
1.646,35.0,12.06,0,0.585,7.247,65.5,10.8168,3,454,18.4,116.46,30.76,18.3
4.0438,12.5,21.03,0,0.506,7.326,40.0,3.7847,3,615,21.1,48.97,33.7,18.9
6.8202,80.0,1.42,0,0.626,5.728,56.4,7.4146,24,673,17.9,40.92,25.31,14.9
8.4522,80.0,17.78,0,0.454,6.27,11.2,8.6274,2,546,14.4,222.75,13.41,28.2
1.002,20.0,22.31,0,0.552,6.363,17.1,1.7691,2,557,15.8,39.49,34.6,11.8
0.2118,25.0,4.95,0,0.657,5.61,93.3,2.7841,24,455,18.1,41.14,12.54,21.3
1.0241,0.0,4.39,0,0.583,6.261,76.6,4.744,5,354,17.4,190.88,11.7,24.5
2.4268,35.0,23.31,0,0.784,6.304,92.4,8.471,1,408,14.0,175.72,33.88,10.9
0.7943,25.0,22.31,0,0.506,7.098,91.8,5.9294,4,447,16.8,54.9,26.41,21.2
1.2882,80.0,14.78,0,0.855,7.145,65.6,9.1761,6,614,17.7,2.08,34.21,12.8
4.2569,0.0,22.21,0,0.765,6.07,93.0,10.6436,3,478,15.1,76.85,7.36,28.2
0.0527,35.0,2.96,1,0.854,6.15,42.8,9.4421,5,602,18.4,93.87,36.27,7.4
5.3296,12.5,10.95,0,0.791,6.765,2.4,12.0147,6,201,13.3,317.68,23.94,20.3
0.0634,0.0,20.05,0,0.45,5.89,8.1,9.398,3,583,15.8,363.36,25.95,16.3
2.8726,0.0,7.32,0,0.638,6.712,12.7,10.474,8,452,20.2,161.31,34.88,17.8
0.1772,20.0,20.44,0,0.463,6.238,11.3,10.256,5,710,15.0,160.95,15.52,27.8
0.9601,0.0,13.86,0,0.781,5.621,36.5,9.1329,24,434,18.3,282.88,,7.5
1.7523,0.0,20.38,0,0.666,5.63,70.7,9.9198,1,437,16.5,248.94,24.94,12.3
6.5259,12.5,12.81,0,0.509,7.313,79.5,11.3815,3,253,15.6,73.35,30.3,21.4
0.6475,25.0,10.25,0,0.836,6.191,59.8,6.3273,7,609,21.2,43.03,34.26,7.4
11.6577,0.0,6.31,0,0.436,7.448,16.4,8.1212,24,554,15.8,173.87,26.39,23.7
6.5346,80.0,6.02,0,0.656,5.94,75.3,6.7643,2,638,14.8,224.32,4.16,27.6
0.2376,35.0,20.41,0,0.733,6.504,36.8,10.4614,24,235,21.1,55.33,8.35,27.7
0.0268,20.0,3.65,0,0.409,7.975,3.3,5.845,2,297,19.6,116.63,36.33,19.6
0.5094,80.0,2.78,0,0.673,5.56,29.5,10.117,4,646,19.0,121.65,36.86,5.0
2.9239,12.5,5.17,0,0.78,4.972,34.4,9.8929,3,209,13.1,103.95,36.82,5.0
18.5073,0.0,5.15,0,0.413,7.201,28.9,11.6807,4,453,13.8,183.05,3.04,36.3
1.0656,0.0,22.31,0,0.631,5.721,81.6,3.8381,24,399,18.6,259.31,15.58,22.5
4.1929,80.0,11.06,0,0.507,6.286,76.5,8.9058,7,679,14.6,202.33,29.28,19.2
0.2516,80.0,26.75,0,0.705,5.89,70.2,9.4261,8,635,14.7,80.21,29.03,14.7
4.6842,25.0,4.14,0,0.438,6.488,15.6,11.3991,3,656,19.9,41.14,4.82,29.5
5.9645,0.0,17.82,0,0.839,5.635,81.2,11.0759,24,338,15.3,326.26,23.82,11.0
6.651,0.0,12.39,0,0.818,6.174,68.4,7.4088,4,494,13.3,190.4,6.89,22.1
6.7524,0.0,10.91,0,0.471,6.615,21.1,7.4707,6,553,12.9,24.96,19.6,27.0
4.9365,0.0,23.69,1,0.538,5.594,65.5,2.9402,7,693,16.8,102.69,10.4,22.9
0.2544,0.0,26.35,0,0.668,5.81,49.4,11.8246,6,190,18.4,319.18,3.63,27.7
2.4723,20.0,23.63,0,0.732,6.057,45.1,3.9052,6,698,20.8,298.44,4.6,23.4
1.309,0.0,5.6,1,0.597,5.3,13.0,9.0721,5,373,13.6,347.65,34.77,7.3
1.4054,80.0,6.35,0,0.457,6.004,52.8,9.8537,6,254,14.4,239.1,28.73,16.9
6.7008,12.5,17.89,0,0.431,6.383,11.8,5.9534,24,509,17.6,168.04,35.53,15.4
6.4653,0.0,8.16,0,0.87,6.02,18.1,3.4231,4,596,16.0,169.51,18.76,12.8
3.5082,20.0,19.97,1,0.603,6.11,15.0,3.1786,5,254,17.1,77.26,,22.2
0.7547,35.0,15.51,0,0.808,6.286,95.5,10.5215,2,208,21.3,258.41,14.71,18.6
3.3073,0.0,15.1,0,0.616,5.841,29.9,6.7183,4,656,17.7,232.35,24.07,12.2
0.8623,0.0,22.46,0,0.832,6.784,36.8,2.0915,7,676,16.5,61.74,14.46,19.0
4.4536,0.0,19.33,0,0.423,7.305,33.6,8.9872,6,268,21.9,351.56,28.79,20.8
0.5804,35.0,1.2,0,0.436,5.975,90.0,3.8519,2,660,13.2,146.45,,19.2
3.5513,0.0,1.81,0,0.836,6.64,57.2,10.7403,5,663,21.4,20.05,33.49,13.5
1.4258,25.0,16.44,1,0.844,6.132,92.1,4.5053,8,709,17.3,130.35,10.51,22.1
0.2835,12.5,13.38,0,0.534,6.556,31.4,3.303,2,300,17.3,345.29,20.83,26.3
4.1402,35.0,7.39,0,0.554,7.396,13.3,2.0334,1,490,21.3,363.97,9.81,30.7
0.3808,0.0,11.59,0,0.602,6.656,56.5,6.7268,4,708,17.4,194.8,3.06,33.6
12.8191,80.0,20.58,0,0.584,,35.9,6.0581,6,659,16.7,379.59,27.39,7.1
1.9766,25.0,22.41,0,0.473,6.618,80.6,9.3644,3,503,15.2,347.42,21.63,22.4
1.0654,12.5,15.37,0,0.82,7.163,88.2,6.2106,8,290,18.8,327.59,27.98,16.1
0.5983,0.0,10.71,0,0.504,6.145,48.3,4.882,8,231,18.0,341.26,4.88,23.8
2.1884,80.0,7.67,0,0.726,6.997,97.2,3.9782,5,322,14.6,151.76,37.84,16.9
4.1733,0.0,14.33,0,0.413,5.817,56.2,4.1596,4,221,19.3,300.32,37.79,7.1
5.3286,12.5,8.84,0,0.399,5.26,28.6,11.3063,1,289,18.7,229.28,18.58,14.3
2.6371,12.5,15.45,0,0.7,6.399,49.9,2.9159,8,226,16.3,285.73,33.14,10.0
10.163,0.0,18.43,0,0.546,5.07,5.7,11.9699,24,586,12.6,70.83,10.54,19.5
4.6548,12.5,2.25,0,0.701,6.132,80.8,4.6961,4,496,16.8,290.38,28.47,17.0
0.5353,0.0,0.53,0,0.426,7.201,11.9,2.0723,5,458,12.7,380.08,33.62,26.8
9.7083,0.0,6.13,0,0.845,4.963,32.3,3.8356,7,611,13.3,120.35,31.27,5.0
1.2115,0.0,24.2,0,0.747,5.404,57.4,1.7426,7,402,16.6,391.41,31.17,6.3
10.1999,0.0,17.63,0,0.809,5.578,6.2,9.7903,2,398,13.4,150.38,18.51,12.8
0.9307,12.5,5.06,1,0.447,6.256,9.8,6.7381,7,295,15.2,79.53,31.47,18.5
1.5776,35.0,24.09,0,0.537,6.044,70.2,4.8069,24,420,18.8,44.85,26.77,15.5
3.4385,0.0,12.95,0,0.56,7.279,9.0,8.3825,7,278,15.5,311.62,6.51,33.1
0.2211,0.0,13.12,0,0.643,6.968,48.8,8.0371,5,495,22.0,220.35,5.84,29.5
7.9021,0.0,25.29,0,0.525,6.647,35.2,11.4386,5,709,21.2,122.12,29.72,14.4
1.3459,20.0,2.08,0,0.41,6.402,24.4,11.6739,3,466,18.1,241.62,24.4,23.7
0.7779,0.0,6.2,0,0.561,6.575,20.5,8.5875,6,343,21.7,132.02,20.55,21.1
0.1821,12.5,16.02,0,0.505,5.697,76.8,10.096,3,547,20.8,178.13,34.63,9.5
0.0764,0.0,5.68,0,0.569,6.9,95.3,9.8167,4,616,15.6,342.44,25.64,15.9
0.0875,0.0,18.51,0,0.477,5.522,15.7,6.5043,3,434,19.6,265.3,16.08,17.9
1.1439,12.5,6.17,0,0.508,6.885,96.0,8.849,4,318,13.9,302.67,16.73,32.6
1.0954,12.5,3.13,0,0.687,7.13,60.3,1.9608,4,561,19.0,231.72,23.67,24.1
3.0617,20.0,5.99,0,0.57,6.448,64.9,9.4382,1,285,17.2,393.49,29.3,12.0
6.87,35.0,11.7,1,0.549,6.177,71.6,11.6802,7,709,12.8,96.06,22.19,19.6
3.5177,12.5,5.17,0,0.642,6.58,71.0,2.0347,4,353,15.2,104.34,20.17,19.3
3.2714,35.0,4.07,0,0.758,4.297,82.3,10.2973,24,370,21.6,37.03,28.09,5.0
1.6615,20.0,23.3,0,0.566,6.512,49.4,11.3628,2,567,15.6,220.03,27.3,19.0
2.9041,0.0,8.99,0,0.668,6.221,54.3,3.5881,7,193,14.3,243.57,31.84,11.8
2.4019,0.0,10.06,0,0.853,6.265,33.7,6.8729,2,293,14.4,288.22,3.97,26.9
0.1611,0.0,1.96,0,0.636,6.795,12.3,11.3064,5,252,17.1,133.35,29.1,12.0
0.8062,20.0,9.97,0,0.826,6.248,67.1,11.6625,5,391,20.5,5.18,20.35,13.1
0.7778,0.0,7.52,0,0.769,5.502,5.3,2.5067,5,477,19.7,251.05,4.41,20.9
0.2306,80.0,16.68,0,0.409,6.201,29.0,4.939,6,281,16.7,396.38,26.35,20.5
1.3723,12.5,5.94,0,0.59,6.347,11.2,8.7796,8,367,14.6,117.13,27.71,13.2
0.1779,35.0,24.04,0,0.722,6.38,20.7,3.5371,3,591,13.0,73.26,20.71,19.9
4.5129,25.0,25.14,0,0.863,6.413,64.6,4.6725,8,679,16.9,112.06,30.51,13.9
4.6193,0.0,3.15,0,0.605,7.028,63.6,1.3562,2,194,20.3,169.03,12.6,23.6
0.3232,0.0,3.35,1,0.425,5.54,43.3,2.7887,3,515,19.5,99.83,9.03,23.2
0.2585,25.0,3.56,0,0.655,6.423,10.8,7.2856,3,200,16.4,137.92,14.43,23.8
9.3892,0.0,16.92,0,0.442,7.203,44.5,8.284,24,459,18.2,253.42,16.58,32.0
0.9411,0.0,3.73,0,0.748,5.086,36.6,8.238,2,647,16.7,137.15,26.96,7.0
2.1136,80.0,23.09,0,0.629,6.426,72.6,9.662,4,605,18.0,157.39,32.39,12.9
1.8442,12.5,20.49,0,0.734,5.89,58.7,5.6681,4,308,17.5,16.2,27.87,13.4
3.8197,0.0,22.22,0,0.806,6.041,50.2,4.1084,8,322,19.0,364.36,8.02,18.7
3.1096,12.5,14.44,0,0.688,5.667,49.7,1.2714,5,597,17.4,161.68,14.99,17.3
6.8655,12.5,26.91,0,0.68,6.181,,3.3729,24,616,21.4,130.46,7.45,22.0
0.5655,35.0,1.67,1,0.75,7.589,76.1,4.5363,7,334,16.6,34.62,26.63,22.4
3.0978,25.0,11.13,0,0.793,5.415,50.7,3.0603,7,188,12.7,251.82,10.71,21.3
1.2893,0.0,9.08,0,0.806,5.481,49.0,1.3216,7,419,14.8,342.9,20.77,14.6
2.1445,0.0,25.64,0,0.398,5.389,4.6,2.8319,2,511,17.3,16.64,30.44,9.6
12.4336,20.0,15.79,0,0.653,7.509,94.4,8.4271,5,419,17.7,57.93,26.06,22.6
1.6235,0.0,21.86,0,0.486,5.976,33.3,8.0254,6,676,17.8,58.38,12.53,26.6
3.5372,0.0,5.01,0,0.802,6.282,27.1,11.3925,2,613,19.3,239.17,13.78,18.0
1.9206,0.0,26.43,0,0.698,6.018,99.9,9.8799,2,599,15.2,365.66,25.42,15.4
0.5893,0.0,13.71,0,0.586,5.639,72.4,7.3453,2,197,18.9,173.93,21.65,14.3
0.0589,80.0,13.58,0,0.472,6.135,6.6,2.6131,8,634,19.2,136.67,5.2,27.9
4.6792,0.0,26.23,0,0.546,8.021,8.1,7.3048,6,582,16.5,304.04,33.43,20.2
0.2869,0.0,10.59,0,0.725,7.274,4.5,1.7775,3,395,16.4,294.81,20.31,27.8
